date,user,page,duration
2021-01-01,17789,about,9
2021-01-01,17789,search,27
2021-01-01,17789,search,9
2021-01-01,17789,about,41
2021-01-01,17789,search,12
2021-01-01,17790,search,43
2021-01-01,17789,listings,8
2021-01-01,17790,about,30
2021-01-01,17790,listings,12
2021-01-01,17790,home,4
2021-01-01,17790,listings,24
2021-01-01,17790,listings,23
2021-01-01,17790,profile,19
2021-01-01,17791,profile,1
2021-01-01,17790,listings,12
2021-01-01,17791,listings,2
2021-01-01,17791,profile,6
2021-01-01,17791,search,6
2021-01-01,17791,search,66
2021-01-01,17791,about,19
2021-01-01,17791,profile,2
2021-01-01,17791,listings,19
2021-01-01,17792,listings,30
2021-01-01,17792,listings,13
2021-01-01,17792,search,18
2021-01-01,17792,listings,51
2021-01-01,17792,home,43
2021-01-01,17792,home,42
2021-01-01,17793,listings,14
2021-01-01,17793,about,63
2021-01-01,17792,listings,17
2021-01-01,17793,search,13
2021-01-01,17793,listings,6
2021-01-01,17793,about,15
2021-01-01,17793,search,15
2021-01-01,17793,listings,11
2021-01-01,17793,search,33
2021-01-01,17794,listings,39
2021-01-01,17794,listings,8
2021-01-01,17794,search,29
2021-01-01,17794,search,7
2021-01-01,17795,profile,15
2021-01-01,17795,home,5
2021-01-01,17794,home,6
2021-01-01,17795,listings,24
2021-01-01,17795,listings,7
2021-01-01,17795,listings,20
2021-01-01,17795,about,16
2021-01-01,17796,search,44
2021-01-01,17795,search,8
2021-01-01,17795,listings,6
2021-01-01,17796,search,6
2021-01-01,17796,listings,30
2021-01-01,17796,search,10
2021-01-01,17796,listings,10
2021-01-01,17796,profile,46
2021-01-01,17796,listings,14
2021-01-01,17796,about,18
2021-01-01,17796,search,3
2021-01-01,17797,search,16
2021-01-01,17797,search,3
2021-01-01,17798,listings,15
2021-01-01,17798,listings,31
2021-01-01,17798,search,33
2021-01-01,17798,about,19
2021-01-01,17798,home,25
2021-01-01,17798,profile,6
2021-01-01,17799,listings,16
2021-01-01,17799,search,18
2021-01-01,17799,listings,10
2021-01-01,17798,profile,10
2021-01-01,17799,search,28
2021-01-01,17799,search,17
2021-01-01,17799,home,17
2021-01-01,17799,profile,11
2021-01-01,17800,search,7
2021-01-01,17799,home,57
2021-01-01,17800,listings,29
2021-01-02,17801,home,11
2021-01-02,17801,about,30
2021-01-02,17802,profile,12
2021-01-02,17801,about,22
2021-01-02,17802,search,27
2021-01-02,17802,profile,27
2021-01-02,17802,listings,30
2021-01-02,17801,listings,15
2021-01-02,17803,listings,33
2021-01-02,17803,home,15
2021-01-02,17803,listings,23
2021-01-02,17803,profile,17
2021-01-02,17804,listings,37
2021-01-02,17803,listings,7
2021-01-02,17803,listings,10
2021-01-02,17804,search,7
2021-01-02,17804,listings,16
2021-01-02,17804,search,47
2021-01-02,17804,profile,5
2021-01-02,17804,home,56
2021-01-02,17804,listings,18
2021-01-02,17805,search,13
2021-01-02,17805,listings,9
2021-01-02,17805,profile,9
2021-01-02,17805,home,35
2021-01-02,17805,profile,24
2021-01-02,17805,about,16
2021-01-02,17806,profile,19
2021-01-02,17806,listings,23
2021-01-02,17806,search,13
2021-01-02,17806,profile,10
2021-01-02,17805,listings,41
2021-01-02,17806,search,1
2021-01-02,17806,search,37
2021-01-02,17806,search,29
2021-01-02,17807,home,2
2021-01-02,17807,listings,13
2021-01-02,17807,search,5
2021-01-02,17807,about,25
2021-01-02,17807,search,14
2021-01-02,17807,search,8
2021-01-02,17807,listings,16
2021-01-02,17807,search,5
2021-01-02,17807,profile,17
2021-01-02,17808,home,57
2021-01-02,17808,listings,40
2021-01-02,17807,about,19
2021-01-02,17808,profile,13
2021-01-02,17808,search,19
2021-01-02,17808,listings,9
2021-01-02,17808,profile,15
2021-01-02,17809,home,58
2021-01-02,17808,about,5
2021-01-02,17809,profile,10
2021-01-02,17809,search,29
2021-01-02,17809,search,25
2021-01-02,17809,search,14
2021-01-02,17810,profile,8
2021-01-02,17810,profile,5
2021-01-02,17810,home,3
2021-01-02,17810,listings,16
2021-01-02,17810,listings,15
2021-01-02,17810,listings,12
2021-01-02,17810,listings,21
2021-01-02,17810,search,18
2021-01-02,17811,search,6
2021-01-02,17810,listings,27
2021-01-02,17811,profile,26
2021-01-02,17811,about,12
2021-01-02,17811,search,25
2021-01-02,17811,search,23
2021-01-02,17811,listings,4
2021-01-02,17811,search,14
2021-01-02,17812,about,14
2021-01-02,17812,profile,10
2021-01-02,17812,search,9
2021-01-02,17812,profile,37
2021-01-02,17812,listings,50
2021-01-02,17812,search,18
