Name,Party,District,County,Phone,Email
"ALFRED CLINTON CARR, JR.",Democrat,District 18,Montgomery County,(410) 841-3638,alfred.carr@house.state.md.us
EDWARD P. (NED) CAREY,Democrat,District 31A,Anne Arundel County,(410) 841-3047,ned.carey@house.state.md.us
JASON C. BUCKEL,Republican,District 1B,Allegany County,(410) 841-3404,jason.buckel@house.state.md.us
"BENJAMIN T. BROOKS, SR.",Democrat,District 10, Baltimore County,(410) 841-3352,benjamin.brooks@house.state.md.us
ANTONIO (TONY) BRIDGES,Democrat,District 41, Baltimore City,(410) 841-3283,tony.bridges@house.state.md.us
TALMADGE BRANCH,Democrat,District 45, Baltimore City,(410) 841-3398,talmadge.branch@house.state.md.us
CHANEL A. BRANCH,Democrat,District 45,Baltimore City,(410) 841-3257,chanel.branch@house.state.md.us
REGINA T. BOYCE,Democrat,District 43,Baltimore City,(410) 841-3476,regina.boycwe@house.state.md.us
JOSEPH C. BOTELER III,Republican,District 8,Baltimore County,(410) 841-3365,joseph.boteler@house.state.md.us
HARRY (H.,Democrat,District 8,Baltimore County,(410) 841-3526,harry.bhandari@house.state.md.us
LISA M. BELCASTRO,Democrat,District 11,Baltimore County,(410) 841-3833,lisa.belcastro@house.state.md.us
WENDELL R. BEITZEL,Republican,District 1A,Garrett,(410) 841-3435,wendell.beitzel@house.state.md.us
"SANDY BARTLETT, Esq.",Democrat,District 32,Anne Arundel County,(410) 841-3370,sandy.bartlett@house.state.md.us
EREK L. BARRON,Democrat,District 24,Prince George's County,(410) 841-3692,erek.barron@house.state.md.us
"PATRICK G. YOUNG, JR.",Democrat,District 44B, Baltimore County,(410) 841-3544,pat.young@house.state.md.us
KAREN LEWIS YOUNG,Democrat,District 3A,Frederick County,(410) 841-3436,karen.young@house.state.md.us
WILLIAM J. WIVELL,Republican,District 2A,Washington County,(410) 841-3447,william.wivell@house.state.md.us
This web site is presented for,Democrat,District 28,Charles County,(410) 841-3325,ct.wilson@house.state.md.us
NICOLE A. WILLIAMS,Democrat,District 22,Prince George's County,(410) 841-3058,nicole.williams@house.state.md.us
JHEANELLE K. WILKINS,Democrat,District 20,Montgomery County,(410) 841-3493,jheanelle.wilkins@house.state.md.us
MELISSA R. WELLS,Democrat,District 40,Baltimore City,(410) 841-3545,melissa.wells@house.state.md.us
"RONALD L. WATSON, Ph.",Democrat,District 23B,Prince George's County,(410) 841-3448,ron.watson@house.state.md.us
COURTNEY WATSON,Democrat,District 9B,Howard County,(410) 841-3077,courtney.watson@house.state.md.us
ALONZO T. WASHINGTON,Democrat,District 22,Prince George's County,(410) 841-3652,alonzo.washington@house.state.md.us
JAY WALKER,Democrat,District 26,Prince George's County,(410) 841-3581,jay.walker@house.state.md.us
GERALDINE VALENTINO,Democrat,District 23A,Prince George's County,(410) 841-3101,geraldine.valentino@house.state.md.us
KRISELDA VALDERRAMA,Democrat,District 26,Prince George's County,(410) 841-3210,kris.valderrama@house.state.md.us
VERONICA L. TURNER,Democrat,District 26,Prince George's County,(410) 841-3212,veronica.turner@house.state.md.us
"BRENDA JEANETTE THIAM, Ph.",Republican,District 2B,Washington County,(410) 841-3125,brenda.thiam@house.state.md.us
"JENNIFER R. TERRASA, Esq.",Democrat,District 13,Howard County,(410) 841-3246,jen.terrasa@house.state.md.us
KATHY SZELIGA,Republican,District 7,Baltimore County,(410) 841-3698,kathy.szeliga@house.state.md.us
VAUGHN M. STEWART III,Democrat,District 19,Montgomery County,(410) 841-3528,vaughn.stewart@house.state.md.us
DANA M. STEIN,Democrat,District 11,Baltimore County,(410) 841-3527,dana.stein@house.state.md.us
JARED SOLOMON,Democrat,District 18,Montgomery County,(410) 841-3130,jared.solomon@house.state.md.us
"STEPHANIE M. SMITH, Esq.",Democrat,District 45,Baltimore City,(410) 841-3486,stephanie.smith@house.state.md.us
"HAVEN N. SHOEMAKER, JR.",Republican,District 5,Carroll County,(410) 841-3359,haven.shoemaker@house.state.md.us
"EMILY K. SHETTY, Esq.",Democrat,District 18,Montgomery County,(410) 841-3181,emily.shetty@house.state.md.us
SHEREE L. SAMPLE,Democrat,District 37A,Dorchester,(410) 841-3427,sample.hughes@house.state.md.us
SID A. SAAB,Republican,District 33,Anne Arundel County,(410) 841-3551,sid.saab@house.state.md.us
SHEILA S. RUTH,Democrat,District 44B, Baltimore County,(410) 841-3802,sheila.ruth@house.state.md.us
SAMUEL I. (SANDY) ROSENBERG,Democrat,District 41, Baltimore City,(410) 841-3297,samuel.rosenberg@house.state.md.us
APRIL R. ROSE,Republican,District 5,Carroll County,(410) 841-3070,april.rose@house.state.md.us
MICHAEL J. ROGERS,Democrat,District 32,Anne Arundel County,(410) 841-3372,mike.rogers@house.state.md.us
KIRILL REZNIK,Democrat,District 39,Montgomery County,(410) 841-3039,kirill.reznik@house.state.md.us
TERESA E. REILLY,Republican,District 35B,Cecil,(410) 841-3278,teresa.reilly@house.state.md.us
PAMELA E. QUEEN,Democrat,District 14,Montgomery County,(410) 841-3380,pam.queen@house.state.md.us
LILY QI,Democrat,District 15,Montgomery County,(410) 841-3090,lily.qi@house.state.md.us
ELIZABETH G. (SUSIE) PROCTOR,Democrat,District 27A,Charles,(410) 841-3083,susie.proctor@house.state.md.us
JESSE T. PIPPY,Republican,District 4,Carroll,(410) 841-3118,jesse.pippy@house.state.md.us
SHANE E. PENDERGRASS,Democrat,District 13, Howard County,(410) 841-3139,shane.pendergrass@house.state.md.us
JOSELINE A. PEÑA,Democrat,District 21,Anne Arundel,(410) 841-3502,pena.melnyk@house.state.md.us
"EDITH JERRY PATTERSON, Ed.",Democrat,District 28,Charles County,(410) 841-3247,edith.patterson@house.state.md.us
NEIL C. PARROTT,Republican,District 2A,Washington County,(410) 841-3636,neil.parrott@house.state.md.us
JULIE PALAKOVICH CARR,Democrat,District 17,Montgomery County,(410) 841-3037,julie.palakovichcarr@house.state.md.us
REID J. NOVOTNY,Republican,District 9A,Carroll,(410) 841-3582,reid.novotny@house.state.md.us
JAMES MATTHEW (MATT) MORGAN,Republican,District 29A,St. Mary's County,(410) 841-3170,matthew.morgan@house.state.md.us
DAVID MOON,Democrat,District 20,Montgomery County,(410) 841-3474,david.moon@house.state.md.us
RICHARD W. METZGAR,Republican,District 6,Baltimore County,(410) 841-3332,ric.metzgar@house.state.md.us
MICHAEL W. MCKAY,Republican,District 1C,Allegany,(410) 841-3321,mike.mckay@house.state.md.us
MAGGIE McINTOSH,Democrat,District 43, Baltimore City,(410) 841-3407,maggie.mcintosh@house.state.md.us
SUSAN K. McCOMAS,Republican,District 34B,Harford County,(410) 841-3272,susan.mccomas@house.state.md.us
JOHN F. (JOHNNY) MAUTZ IV,Republican,District 37B,Caroline,(410) 841-3429,johnny.mautz@house.state.md.us
NINO MANGIONE,Republican,District 42B,Baltimore County,(410) 841-3258,nino.mangione@house.state.md.us
MICHAEL E. MALONE,Republican,District 33,Anne Arundel County,(410) 841-3510,michael.malone@house.state.md.us
ERIC G. LUEDTKE,Democrat,District 14,Montgomery County,(410) 841-3110,eric.luedtke@house.state.md.us
"SARA N. LOVE, Esq.",Democrat,District 16,Montgomery County,(410) 841-3454,sara.love@house.state.md.us
LESLEY J. LOPEZ,Democrat,District 39,Montgomery County,(410) 841-3021,lesley.lopez@house.state.md.us
ROBERT B. (BOB) LONG,Republican,District 6, Baltimore County,(410) 841-3458,bob.long@house.state.md.us
MARY ANN LISANTI,Democrat,District 34A,Harford County,(410) 841-3331,maryann.lisanti@house.state.md.us
BROOKE ELIZABETH LIERMAN,Democrat,District 46, Baltimore City,(410) 841-3319,brooke.lierman@house.state.md.us
ROBBYN T. LEWIS,Democrat,District 46, Baltimore City,(410) 841-3772,robbyn.lewis@house.state.md.us
JAZZ M. LEWIS,Democrat,District 24,Prince George's County,(301) 858-3691,jazz.lewis@house.state.md.us
MARY A. LEHMAN,Democrat,District 21,mary.lehman@house.state.md.us,(410) 841-3114,mary.lehman@house.state.md.us
CAROL L. KRIMM,Democrat,District 3A,Frederick County,(410) 841-3472,carol.krimm@house.state.md.us
SUSAN W. KREBS,Republican,District 5,Carroll County,(410) 841-3200,susan.krebs@house.state.md.us
MARC A. KORMAN,Democrat,District 16,Montgomery County,(410) 841-3649,marc.korman@house.state.md.us
TRENT M. KITTLEMAN,Republican,District 9A,Carroll,(410) 841-3556,trent.kittleman@house.state.md.us
NICHOLAUS R. KIPKE,Republican,District 31B,Anne Arundel County,(410) 841-3421,nicholaus.kipke@house.state.md.us
"KENNETH P. KERR, Ed.",Democrat,District 3B,Frederick County,(410) 841-3240,ken.kerr@house.state.md.us
ARIANA BRANNIGAN KELLY,Democrat,District 16,Montgomery County,(410) 841-3642,ariana.kelly@house.state.md.us
ANNE R. KAISER,Democrat,District 14,Montgomery County,(410) 841-3036,anne.kaiser@house.state.md.us
RACHEL R. JONES,Democrat,District 27B,Calvert,(410) 841-3103,rachel.jones@house.state.md.us
DANA C. JONES,Democrat,District 30A,Anne Arundel County,(410) 841-3211,dana.jones@house.state.md.us
ADRIENNE A. JONES,Democrat,District 10,Baltimore County,(410) 841-3800,adrienne.jones@house.state.md.us
STEVEN C. JOHNSON,Democrat,District 34A,Harford County,(410) 841-3280,steve.johnson@house.state.md.us
"JAY JALISI, M.",Democrat,District 10, Baltimore County,(410) 841-3358,jay.jalisi@house.state.md.us
JAY A. JACOBS,Republican,District 36,Caroline,(410) 841-3449,jay.jacobs@house.state.md.us
CARL W. JACKSON,Democrat,District 8,Baltimore County,(410) 841-3766,carl.jackson@house.state.md.us
JULIAN IVEY,Democrat,District 47A,Prince George's County,(410) 841-3326,julian.ivey@house.state.md.us
RICHARD K. IMPALLARIA,Republican,District 7,Baltimore County,(410) 841-3289,rick.impallaria@house.state.md.us
SETH A. HOWARD,Republican,District 30B,Anne Arundel County,(410) 841-3439,seth.howard@house.state.md.us
KEVIN B. HORNBERGER,Republican,District 35A,Cecil County,(410) 841-3284,kevin.hornberger@house.state.md.us
"MARVIN E. HOLMES, JR.",Democrat,District 23B,Prince George's County,(410) 841-3310,marvin.holmes@house.state.md.us
"TERRI L. HILL, M.",Democrat,District 12,Baltimore County,(410) 841-3378,terri.hill@house.state.md.us
"SHANEKA T. HENSON, Esq.",Democrat,District 30A,Anne Arundel County,(410) 841-3045,shaneka.henson@house.state.md.us
ANNE HEALEY,Democrat,District 22,Prince George's County,(410) 841-3961,anne.healey@house.state.md.us
KEITH E. HAYNES,Democrat,District 44A,Baltimore City,(410) 841-3801,keith.haynes@house.state.md.us
WAYNE A. HARTMAN,Republican,District 38C,Wicomico,(410) 841-3356,wayne.hartman@house.state.md.us
ANDREA FLETCHER HARRISON,Democrat,District 24,andreafletcher.harrison@house.state.md.us,(410) 841-3919,andreafletcher.harrison@house.state.md.us
"MICHELE JENKINS GUYTON, Ph.",Democrat,District 42B,Baltimore County,(410) 841-3793,michele.guyton@house.state.md.us
MICHAEL GRIFFITH,Republican,District 35B,Cecil,(410) 841-3444,mike.griffith@house.state.md.us
"ROBIN L. GRAMMER, JR.",Republican,District 6,Baltimore County,(410) 841-3298,robin.grammer@house.state.md.us
JAMES W. GILCHRIST,Democrat,District 17,Montgomery County,(410) 841-3744,jim.gilchrist@house.state.md.us
JEFFERSON L. GHRIST,Republican,District 36,Caroline,(410) 841-3555,jeff.ghrist@house.state.md.us
DAVID V. FRASER,Democrat,District 15,Montgomery County,(410) 841-3186,fraser.hidalgo@house.state.md.us
CATHERINE M. FORBES,Democrat,District 42A,Baltimore County,(410) 841-3487,catherine.forbes@house.state.md.us
"WANIKA B. FISHER, Esq.",Democrat,District 47B,Prince George's,(410) 841-3340,wanika.fisher@house.state.md.us
MARK N. FISHER,Republican,District 27C,Calvert County,(410) 841-3231,mark.fisher@house.state.md.us
DIANA M. FENNELL,Democrat,District 47A,Prince George's County,(410) 841-3478,diana.fennell@house.state.md.us
JESSICA M. FELDMARK,Democrat,District 12,Baltimore County,(410) 841-3205,jessica.feldmark@house.state.md.us
ERIC D. EBERSOLE,Democrat,District 12,Baltimore County,(410) 841-3328,eric.ebersole@house.state.md.us
KATHLEEN M. DUMAIS,Democrat,District 15,Montgomery County,(410) 841-3052,kathleen.dumais@house.state.md.us
DERECK E. DAVIS,Democrat,District 25,Prince George's County,(410) 841-3519,dereck.davis@house.state.md.us
"DEBRA M. DAVIS, Esq.",Democrat,District 28,debra.davis@house.state.md.us,(410) 841-3337,debra.davis@house.state.md.us
BONNIE L. CULLISON,Democrat,District 19,Montgomery County,(410) 841-3883,bonnie.cullison@house.state.md.us
"CHARLOTTE CRUTCHFIELD, Esq.",Democrat,District 19,Montgomery County,(410) 841-3485,charlotte.crutchfield@house.state.md.us
BRIAN M. CROSBY,Democrat,District 29B,St. Mary's County,(410) 841-3227,brian.crosby@house.state.md.us
DANIEL L. COX,Republican,District 4,Carroll,(410) 841-3288,dan.cox@house.state.md.us
"FRANK M. CONAWAY, JR.",Democrat,District 40,Baltimore City,(410) 841-3189,frank.conaway@house.state.md.us
LUKE H. CLIPPINGER,Democrat,District 46, Baltimore City,(410) 841-3488,luke.clippinger@house.state.md.us
GERALD W. (JERRY) CLARK,Republican,District 29C,Calvert,(410) 841-3314,jerry.clark@house.state.md.us
BARRIE S. CILIBERTI,Republican,District 4,Carroll,(410) 841-3080,barrie.ciliberti@house.state.md.us
BRIAN A. CHISHOLM,Republican,District 31B,Anne Arundel County,(410) 841-3206,brian.chisholm@house.state.md.us
NICHOLAS P. (NICK) CHARLES II,Democrat,District 25,Prince George's County,(410) 841-3707,nick.charles@house.state.md.us
"LORIG CHARKOUDIAN, Ph.",Democrat,District 20,Montgomery County,(410) 841-3423,lorig.charkoudian@house.state.md.us
MARK S. CHANG,Democrat,District 32,Anne Arundel County,(410) 841-3511,mark.chang@house.state.md.us
DARRYL BARNES,Democrat,District 25,Prince George's County,(410) 841-3557,darryl.barnes@house.state.md.us
BENJAMIN S. (BEN) BARNES,Democrat,District 21,Anne Arundel,(410) 841-3046,ben.barnes@house.state.md.us
HEATHER BAGNALL,Democrat,District 33,Anne Arundel County,(410) 841-3406,heather.bagnall@house.state.md.us
VANESSA E. ATTERBEARY,Democrat,District 13,Howard County,(410) 841-3471,vanessa.atterbeary@house.state.md.us
"DALYA ATTAR, Esq.",Democrat,District 41,Baltimore City,(410) 841-3268,dalya.attar@house.state.md.us
LAUREN C. ARIKAN,Republican,District 7,Baltimore County,(410) 841-3334,lauren.arikan@house.state.md.us
STEVEN J. ARENTZ,Republican,District 36,Caroline,(410) 841-3543,steven.arentz@house.state.md.us
"CARL L. ANDERTON, JR.",Republican,District 38B,Wicomico County,(410) 841-3431,carl.anderton@house.state.md.us
CURTIS STOVALL (CURT) ANDERSON,Democrat,District 43,Baltimore City,(410) 841-3291,curt.anderson@house.state.md.us
"MARLON D. AMPREY, Esq.",Democrat,District 40,Baltimore City,(410) 841-3520,marlon.amprey@house.state.md.us
CHRISTOPHER T. ADAMS,Republican,District 37B,Caroline,(410) 841-3343,christopher.adams@house.state.md.us
GABRIEL ACEVERO,Democrat,District 39,Montgomery County,(410) 841-3001,gabriel.acevero@house.state.md.us
